,Time,evp
442,2016-11-01,106.805557
443,2016-12-01,115.069443
444,2017-01-01,133.61111499999998
445,2017-02-01,183.7
446,2017-03-01,224.4
447,2017-04-01,228.3
448,2017-05-01,187.7
449,2017-06-01,151.0
450,2017-07-01,139.7
451,2017-08-01,149.3
452,2017-09-01,127.2
453,2017-10-01,145.3
454,2017-11-01,153.8
455,2017-12-01,165.7
456,2018-01-01,192.4
